"sample_date","approved_site_name","latitude","longitude","location_type","disease_present","pisaster_ochraceus","pycnopodia_helianthoides","pisaster_giganteus","pisaster_brevispinus","evasterias","patiria","strongylocentrotus_purpuratus","species_no_disease_evident","species_disease_evident","name","affiliation","additional_information","add_to_map"
"2013-11-03","10 Mile Point","48.4500672","-123.27074","subtidal","yes","species not observed","yes","species not observed","species not observed","species not observed","species not observed","species not observed","NONE","NONE","James Hester",,,"yes"
"2014-01-01","10 Mile Point","48.4500672","-123.27074","subtidal","yes","species not observed","yes","species not observed","species not observed","no","species not observed","species not observed","Dermasterias imbricata; Henricia spp; Pteraster spp; Solaster spp","NONE","Doug Biffard",,,"yes"
"2014-07-11","North Potlatch","47.375356","-123.14972","small stones; some sand","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Mike Petz",NULL,"This site is a private beach on Hood Canal. I grow oysters in grow bags at the -1 to +1 low tide level. Starfish have always been present and there were dozens on my beach and my adjacent neighbors beach in April; May and mid June. I did not notice any diseased starfish then; but I was not specifically looking for that. Yesterday I noticed a diseased starfish and walked about 300 feet of the shoreline where I found 10 more diseased starfish. I found only two apparently not diseased. It appears that in a very short time all of the starfish have disappeared.","yes"
"2014-07-13","Auke Bay","58.36","-134.65","rocky intertidal","yes","species not observed","species not observed","species not observed","species not observed","yes","species not observed","species not observed","Solaster spp.","NONE (no additional sea stars observed showing disease symptoms)","Gus van Vliet",NULL,"Evasterias = 153 total The total conservatively includes at least:Low-level illness appearance = 7; High-level illness appearance = 1; Without one or more arms = 2; Without half of one arm = 1; Solaster   =  1;Temperature:  58 degrees F. 100% overcast and misty -4.4 ft low tide at 8:30AM One hour survey:  8-9AM bracketing the low tide","yes"
"2016-04-26","Second Beach","47.8908","-124.6272","rocky intertidal","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms);","NONE (no additional sea stars observed showing disease symptoms);","Chris Morgan","NatureBridge",,"yes"
"2014-03-18","3 Tree Point","47.452483","-122.3792","subtidal","yes","species not observed","species not observed","species not observed","species not observed","yes","species not observed","species not observed","Henricia spp","Dermasterias imbricata",,"UCSC","7-8 deg C","yes"
"2014-04-19","3 Tree Point","47.452483","-122.3792","subtidal","yes","species not observed","no","species not observed","no","yes","species not observed","species not observed","Henricia spp.; Crossaster papposus; Mediaster aequalis","NONE (no additional sea stars observed showing disease symptoms)","Mark Nayer",,,"yes"
"2015-06-10","3 Tree Point","47.452483","-122.3792","subtidal","yes","species not observed","species not observed","species not observed","no","yes","species not observed","species not observed","Dermasterias imbricata; Henricia spp.; Solaster spp.; Hippasteria spinosa, Mediaster dequalis","NONE (no additional sea stars observed showing disease symptoms);","Mark Nayer",,,"yes"
"2013-11-30","3 Tree Point","47.452483","-122.3792","subtidal","yes","species not observed","yes","species not observed","no","yes","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","Dermasterias imbricata; Solaster spp","John Gross",,"This was on a casual recreational dive.  I counted the last half of the dive, and very few were not affected, with P. brevispinus the only notable exception","yes"
"2014-11-19","4 Mile Beach","36.965522","-122.12518","rocky intertidal","no","no","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Zoe Fairlie",,"We saw two mature ochre sea stars. This is the first time we have seen large ochre stars in a long time around Santa Cruz. They looked healthy.","yes"
"2014-07-12","Pleasant Harbor Rd; Brinnon","47.6679","-122.90746","rocky/sand intertidal zone","yes","yes","species not observed","species not observed","species not observed","species not observed","species not observed","species not observed","NONE (no additional sea stars observed showing NO disease symptoms)","NONE (no additional sea stars observed showing disease symptoms)","Beth Karolle",NULL,"Normally; there are many sea stars (pisaster ochraceus) visible during minus tides on my beach (491 Pleasant Harbor Rd). On 7/12/14; I saw only 2 purple ones. The following day; the only remaining bits were a couple of dismembered arms--all sea stars gone at this point. I was unaware of the syndrome; until that point; and did not have my camera there. Doubt of any use; but I will send photos of the sea stars from the same beach dated 3/13. Thanks!","yes"
"2014-04-29","South Jetty Newport ST","44.6094861","-124.07779","subtidal","yes","yes","yes","species not observed","no","no","species not observed","species not observed","Dermasterias imbricata","NONE (no additional sea stars observed showing disease symptoms)","Jim Burke","Oregon Coast Aquarium",,"yes"
