"","X.1","X","longitude","latitude","begin","end","ID","season","year"
"1",1,1,-122.1579,36.9729,"2001-03-12","2001-05-14","doi:10.6085/AA/SHB001_021ADCP020R00_20010312.50.1",1,2001
"2",2,2,-121.9448,36.558,"2005-01-06","2005-04-05","doi:10.6085/AA/SWC001_022ADCP021R00_20050106.50.3",3,2005
"3",3,3,-120.63583,34.86919,"2002-04-23","2002-06-12","doi:10.6085/AA/PTSXXX_015ADCP015R00_20020423.50.4",1,2002
"4",4,4,-119.69602,34.0313,"2004-10-11","2004-12-20","doi:10.6085/AA/PELXXX_015ADCP015R00_20041011.50.8",3,2004
"5",5,5,-122.08045,36.943421,"2002-01-24","2002-04-16","doi:10.6085/AA/TPT001_018ADCP018R00_20020124.50.4",1,2002
"6",6,6,-124.127332,44.2516,"2002-05-15","2002-06-26","doi:10.6085/AA/SH15CX_015ADCP014R00_20020515.50.3",2,2002
"7",7,7,-122.1579,36.9729,"2002-01-15","2002-04-11","doi:10.6085/AA/SHB001_021ADCP020R00_20020115.50.1",3,2002
"8",8,8,-124.025515,45.0019,"2001-04-20","2001-07-09","doi:10.6085/AA/CH15CX_015ADCP014R00_20010420.50.3",1,2001
"9",9,9,-120.63583,34.86919,"2005-02-26","2005-05-24","doi:10.6085/AA/PTSXXX_015ADCP015R00_20050226.50.3",1,2005
"10",10,10,-122.15845,36.972121,"2003-04-29","2003-07-27","doi:10.6085/AA/SHB001_021ADCP020R00_20030429.50.2",2,2003
"11",11,11,-121.9448,36.558,"2005-07-01","2005-09-28","doi:10.6085/AA/SWC001_022ADCP021R00_20050701.50.4",2,2005
"12",12,12,-124.102233,44.4994,"2002-06-27","2002-09-07","doi:10.6085/AA/SR15CX_015ADCP014R00_20020627.50.4",2,2002
"13",13,13,-121.9448,36.558,"2001-03-08","2001-04-16","doi:10.6085/AA/SWC001_022ADCP021R00_20010308.50.5",1,2001
"14",14,14,-121.898647,36.62185,"2005-12-12","2006-03-13","doi:10.6085/AA/HMS001_020ADCP019R00_20051212.50.2",3,2006
"15",15,15,-119.69665,34.03065,"2004-07-13","2004-10-08","doi:10.6085/AA/PELXXX_015ADCP015R00_20040713.50.3",2,2004
