"","longitude","latitude","begin","end","ID"
"1",-122.1579,36.9729,"2001-03-12","2001-05-14","doi:10.6085/AA/SHB001_021ADCP020R00_20010312.50.1"
"2",-121.9448,36.558,"2005-01-06","2005-04-05","doi:10.6085/AA/SWC001_022ADCP021R00_20050106.50.3"
"3",-120.63583,34.86919,"2002-04-23","2002-06-12","doi:10.6085/AA/PTSXXX_015ADCP015R00_20020423.50.4"
"4",-119.69602,34.0313,"2004-10-11","2004-12-20","doi:10.6085/AA/PELXXX_015ADCP015R00_20041011.50.8"
"5",-122.08045,36.943421,"2002-01-24","2002-04-16","doi:10.6085/AA/TPT001_018ADCP018R00_20020124.50.4"
"6",-124.127332,44.2516,"2002-05-15","2002-06-26","doi:10.6085/AA/SH15CX_015ADCP014R00_20020515.50.3"
"7",-122.1579,36.9729,"2002-01-15","2002-04-11","doi:10.6085/AA/SHB001_021ADCP020R00_20020115.50.1"
"8",-124.025515,45.0019,"2001-04-20","2001-07-09","doi:10.6085/AA/CH15CX_015ADCP014R00_20010420.50.3"
"9",-120.63583,34.86919,"2005-02-26","2005-05-24","doi:10.6085/AA/PTSXXX_015ADCP015R00_20050226.50.3"
"10",-122.15845,36.972121,"2003-04-29","2003-07-27","doi:10.6085/AA/SHB001_021ADCP020R00_20030429.50.2"
"11",-121.9448,36.558,"2005-07-01","2005-09-28","doi:10.6085/AA/SWC001_022ADCP021R00_20050701.50.4"
"12",-124.102233,44.4994,"2002-06-27","2002-09-07","doi:10.6085/AA/SR15CX_015ADCP014R00_20020627.50.4"
"13",-121.9448,36.558,"2001-03-08","2001-04-16","doi:10.6085/AA/SWC001_022ADCP021R00_20010308.50.5"
"14",-121.898647,36.62185,"2005-12-12","2006-03-13","doi:10.6085/AA/HMS001_020ADCP019R00_20051212.50.2"
"15",-119.69665,34.03065,"2004-07-13","2004-10-08","doi:10.6085/AA/PELXXX_015ADCP015R00_20040713.50.3"
"16",-119.69602,34.0313,"2005-08-31","2005-11-14","doi:10.6085/AA/PELXXX_015ADCP015R00_20050831.50.8"
"17",-120.48605,34.47385,"2004-02-12","2004-05-05","doi:10.6085/AA/JALXXX_015ADCP015R00_20040212.50.1"
"18",-119.84155,34.066,"2005-09-12","2005-12-05","doi:10.6085/AA/PROXXX_015ADCP015R00_20050912.50.1"
"19",-119.85566,33.96617,"2005-12-08","2006-03-13","doi:10.6085/AA/MORXXX_015ADCP015R00_20051208.50.3"
"20",-120.6268,34.726483,"2000-10-04","2000-11-13","doi:10.6085/AA/PURXXX_015ADCP015R00_20001004.50.1"
"21",-122.1579,36.9729,"2006-11-30","2007-02-14","doi:10.6085/AA/SHB001_021ADCP020R00_20061130.50.1"
"22",-121.9448,36.558,"2000-05-15","2000-06-17","doi:10.6085/AA/SWC001_022ADCP021R00_20000515.50.2"
"23",-119.69602,34.0313,"2004-10-11","2004-12-20","doi:10.6085/AA/PELXXX_015ADCP015R00_20041011.50.9"
"24",-122.15845,36.972121,"2002-07-07","2002-09-18","doi:10.6085/AA/SHB001_021ADCP020R00_20020705.50.4"
"25",-122.15845,36.972121,"2006-06-02","2006-08-18","doi:10.6085/AA/SHB001_021ADCP020R00_20060602.50.4"
"26",-124.126332,44.2536,"2005-06-15","2005-08-11","doi:10.6085/AA/SH15CX_015ADCP014R00_20050615.50.4"
"27",-121.898647,36.62185,"2004-01-21","2004-04-19","doi:10.6085/AA/HMS001_020ADCP019R00_20040121.50.2"
"28",-120.63583,34.86919,"2008-02-19","2008-05-16","doi:10.6085/AA/PTSXXX_015ADCP015R00_20080219.50.1"
"29",-124.1017,44.505,"2004-07-09","2004-09-09","doi:10.6085/AA/SR15XX_015ADCP014R00_20040709.50.1"
"30",-121.898647,36.62185,"2001-07-03","2001-09-12","doi:10.6085/AA/HMS001_020ADCP019R00_20010703.50.4"
"31",-119.84111,34.06683,"2007-11-28","2008-03-05","doi:10.6085/AA/PROXXX_015ADCP015R00_20071128.50.3"
